,Latitude,Longitude,DateTime,Parameter,Concentration,Unit,AQI,Category
0,41.965,-87.8761,2021-10-05T02:00,OZONE,23.0,PPB,21,1
1,42.0603,-87.8631,2021-10-05T02:00,OZONE,26.0,PPB,24,1
2,42.0603,-87.8631,2021-10-05T02:00,PM2.5,4.7,UG/M3,20,1
3,41.984402,-87.791901,2021-10-05T02:00,OZONE,24.0,PPB,22,1
4,41.855301,-87.752502,2021-10-05T02:00,OZONE,30.0,PPB,28,1
5,41.864329,-87.748826,2021-10-05T02:00,PM2.5,4.3,UG/M3,18,1
6,41.6708,-87.7325,2021-10-05T02:00,PM2.5,8.5,UG/M3,35,1
7,41.6708,-87.7325,2021-10-05T02:00,OZONE,29.0,PPB,27,1
8,41.9136,-87.7239,2021-10-05T02:00,PM2.5,6.2,UG/M3,26,1
9,41.7547,-87.7136,2021-10-05T02:00,OZONE,30.0,PPB,28,1
10,41.7547,-87.7136,2021-10-05T02:00,PM2.5,5.6,UG/M3,23,1
11,42.0622,-87.6736,2021-10-05T02:00,OZONE,30.0,PPB,28,1
12,41.755798,-87.545303,2021-10-05T02:00,OZONE,32.0,PPB,30,1
13,41.965,-87.8761,2021-10-05T03:00,OZONE,25.0,PPB,23,1
14,42.0603,-87.8631,2021-10-05T03:00,OZONE,27.0,PPB,25,1
15,42.0603,-87.8631,2021-10-05T03:00,PM2.5,4.6,UG/M3,19,1
16,41.984402,-87.791901,2021-10-05T03:00,OZONE,29.0,PPB,27,1
17,41.855301,-87.752502,2021-10-05T03:00,OZONE,30.0,PPB,28,1
18,41.864329,-87.748826,2021-10-05T03:00,PM2.5,4.7,UG/M3,20,1
19,41.6708,-87.7325,2021-10-05T03:00,PM2.5,9.3,UG/M3,39,1
20,41.6708,-87.7325,2021-10-05T03:00,OZONE,32.0,PPB,30,1
21,41.9136,-87.7239,2021-10-05T03:00,PM2.5,6.0,UG/M3,25,1
22,41.7547,-87.7136,2021-10-05T03:00,OZONE,30.0,PPB,28,1
23,41.7547,-87.7136,2021-10-05T03:00,PM2.5,5.5,UG/M3,23,1
24,42.0622,-87.6736,2021-10-05T03:00,OZONE,26.0,PPB,24,1
25,41.755798,-87.545303,2021-10-05T03:00,OZONE,25.0,PPB,23,1
26,41.965,-87.8761,2021-10-05T04:00,OZONE,24.0,PPB,22,1
27,42.0603,-87.8631,2021-10-05T04:00,OZONE,26.0,PPB,24,1
28,42.0603,-87.8631,2021-10-05T04:00,PM2.5,4.5,UG/M3,19,1
29,41.984402,-87.791901,2021-10-05T04:00,OZONE,24.0,PPB,22,1
30,41.855301,-87.752502,2021-10-05T04:00,OZONE,25.0,PPB,23,1
31,41.864329,-87.748826,2021-10-05T04:00,PM2.5,5.4,UG/M3,23,1
32,41.6708,-87.7325,2021-10-05T04:00,PM2.5,8.4,UG/M3,35,1
33,41.6708,-87.7325,2021-10-05T04:00,OZONE,24.0,PPB,22,1
34,41.9136,-87.7239,2021-10-05T04:00,PM2.5,8.0,UG/M3,33,1
35,41.7547,-87.7136,2021-10-05T04:00,PM2.5,5.7,UG/M3,24,1
36,41.7547,-87.7136,2021-10-05T04:00,OZONE,22.0,PPB,20,1
37,42.0622,-87.6736,2021-10-05T04:00,OZONE,23.0,PPB,21,1
38,41.755798,-87.545303,2021-10-05T04:00,OZONE,23.0,PPB,21,1
39,41.965,-87.8761,2021-10-05T05:00,OZONE,21.0,PPB,19,1
40,42.0603,-87.8631,2021-10-05T05:00,OZONE,24.0,PPB,22,1
41,42.0603,-87.8631,2021-10-05T05:00,PM2.5,4.4,UG/M3,18,1
42,41.984402,-87.791901,2021-10-05T05:00,OZONE,22.0,PPB,20,1
43,41.855301,-87.752502,2021-10-05T05:00,OZONE,20.0,PPB,19,1
44,41.864329,-87.748826,2021-10-05T05:00,PM2.5,6.5,UG/M3,27,1
45,41.6708,-87.7325,2021-10-05T05:00,PM2.5,7.2,UG/M3,30,1
46,41.6708,-87.7325,2021-10-05T05:00,OZONE,23.0,PPB,21,1
47,41.9136,-87.7239,2021-10-05T05:00,PM2.5,7.1,UG/M3,30,1
48,41.7547,-87.7136,2021-10-05T05:00,PM2.5,5.9,UG/M3,25,1
49,41.7547,-87.7136,2021-10-05T05:00,OZONE,23.0,PPB,21,1
50,42.0622,-87.6736,2021-10-05T05:00,OZONE,24.0,PPB,22,1
51,41.755798,-87.545303,2021-10-05T05:00,OZONE,22.0,PPB,20,1
52,41.965,-87.8761,2021-10-05T06:00,OZONE,21.0,PPB,19,1
53,42.0603,-87.8631,2021-10-05T06:00,OZONE,21.0,PPB,19,1
54,42.0603,-87.8631,2021-10-05T06:00,PM2.5,4.3,UG/M3,18,1
55,41.984402,-87.791901,2021-10-05T06:00,OZONE,20.0,PPB,19,1
56,41.855301,-87.752502,2021-10-05T06:00,OZONE,17.0,PPB,16,1
57,41.864329,-87.748826,2021-10-05T06:00,PM2.5,7.2,UG/M3,30,1
58,41.6708,-87.7325,2021-10-05T06:00,PM2.5,7.4,UG/M3,31,1
59,41.6708,-87.7325,2021-10-05T06:00,OZONE,19.0,PPB,18,1
60,41.9136,-87.7239,2021-10-05T06:00,PM2.5,5.1,UG/M3,21,1
61,41.7547,-87.7136,2021-10-05T06:00,PM2.5,5.6,UG/M3,23,1
62,41.7547,-87.7136,2021-10-05T06:00,OZONE,17.0,PPB,16,1
63,42.0622,-87.6736,2021-10-05T06:00,OZONE,19.0,PPB,18,1
64,41.755798,-87.545303,2021-10-05T06:00,OZONE,21.0,PPB,19,1
65,41.965,-87.8761,2021-10-05T07:00,OZONE,20.0,PPB,19,1
66,42.0603,-87.8631,2021-10-05T07:00,OZONE,21.0,PPB,19,1
67,42.0603,-87.8631,2021-10-05T07:00,PM2.5,4.5,UG/M3,19,1
68,41.984402,-87.791901,2021-10-05T07:00,OZONE,20.0,PPB,19,1
69,41.855301,-87.752502,2021-10-05T07:00,OZONE,20.0,PPB,19,1
70,41.864329,-87.748826,2021-10-05T07:00,PM2.5,6.4,UG/M3,27,1
71,41.6708,-87.7325,2021-10-05T07:00,PM2.5,8.8,UG/M3,37,1
72,41.6708,-87.7325,2021-10-05T07:00,OZONE,18.0,PPB,17,1
73,41.9136,-87.7239,2021-10-05T07:00,PM2.5,4.5,UG/M3,19,1
74,41.7547,-87.7136,2021-10-05T07:00,PM2.5,5.5,UG/M3,23,1
75,41.7547,-87.7136,2021-10-05T07:00,OZONE,17.0,PPB,16,1
76,42.0622,-87.6736,2021-10-05T07:00,OZONE,21.0,PPB,19,1
77,41.755798,-87.545303,2021-10-05T07:00,OZONE,24.0,PPB,22,1
78,41.965,-87.8761,2021-10-05T08:00,OZONE,18.0,PPB,17,1
79,42.0603,-87.8631,2021-10-05T08:00,OZONE,23.0,PPB,21,1
80,42.0603,-87.8631,2021-10-05T08:00,PM2.5,4.7,UG/M3,20,1
81,41.984402,-87.791901,2021-10-05T08:00,OZONE,20.0,PPB,19,1
82,41.855301,-87.752502,2021-10-05T08:00,OZONE,22.0,PPB,20,1
83,41.864329,-87.748826,2021-10-05T08:00,PM2.5,5.1,UG/M3,21,1
84,41.6708,-87.7325,2021-10-05T08:00,PM2.5,9.9,UG/M3,41,1
85,41.6708,-87.7325,2021-10-05T08:00,OZONE,21.0,PPB,19,1
86,41.9136,-87.7239,2021-10-05T08:00,PM2.5,4.2,UG/M3,18,1
87,41.7547,-87.7136,2021-10-05T08:00,PM2.5,7.7,UG/M3,32,1
88,41.7547,-87.7136,2021-10-05T08:00,OZONE,21.0,PPB,19,1
89,42.0622,-87.6736,2021-10-05T08:00,OZONE,20.0,PPB,19,1
