,created_at,entry_id,PM1.0 (CF=1) ug/m3,PM2.5 (CF=1) ug/m3,PM10.0 (CF=1) ug/m3,UptimeMinutes,RSSI_dbm,Atmospheric Pressure,gas_sensor,PM2.5 (CF=ATM) ug/m3,sensor,channel
14601,2021-07-25 00:01:50+00:00,,11.16,15.95,16.02,18240.0,0.0,990.22,,15.95,96036,1267969
14602,2021-07-25 00:03:50+00:00,,9.53,14.09,15.45,18240.0,0.0,990.32,,14.09,96036,1267969
14603,2021-07-25 00:05:50+00:00,,9.91,15.81,17.24,18072.0,0.0,990.31,,15.81,96036,1267969
14604,2021-07-25 00:07:51+00:00,,11.02,17.24,18.46,18240.0,0.0,990.2,,17.24,96036,1267969
14605,2021-07-25 00:09:51+00:00,,11.81,18.02,19.37,18240.0,0.0,990.1,,18.02,96036,1267969
14606,2021-07-25 00:11:51+00:00,,12.24,18.38,18.84,18240.0,0.0,990.02,,18.38,96036,1267969
14607,2021-07-25 00:13:51+00:00,,11.67,19.35,19.69,18240.0,0.0,990.02,,19.35,96036,1267969
14608,2021-07-25 00:15:51+00:00,,10.38,16.45,17.21,18240.0,0.0,989.98,,16.45,96036,1267969
14609,2021-07-25 00:17:51+00:00,,10.33,16.59,17.24,18240.0,0.0,989.97,,16.59,96036,1267969
14610,2021-07-25 00:19:51+00:00,,10.39,16.21,17.05,18240.0,0.0,989.88,,16.21,96036,1267969
14611,2021-07-25 00:21:51+00:00,,11.3,16.79,18.05,18240.0,0.0,989.81,,16.79,96036,1267969
14612,2021-07-25 00:23:51+00:00,,14.59,20.79,21.41,18240.0,0.0,989.73,,20.79,96036,1267969
14613,2021-07-25 00:25:51+00:00,,16.31,24.29,26.52,18240.0,0.0,989.65,,24.29,96036,1267969
14614,2021-07-25 00:27:51+00:00,,12.33,19.77,21.6,18240.0,0.0,989.69,,19.77,96036,1267969
14615,2021-07-25 00:29:50+00:00,,12.29,18.86,19.98,18240.0,0.0,989.75,,18.86,96036,1267969
14616,2021-07-25 00:31:51+00:00,,14.35,22.2,23.42,18240.0,0.0,989.75,,22.2,96036,1267969
14617,2021-07-25 00:33:51+00:00,,16.17,24.12,24.78,18240.0,0.0,989.74,,24.12,96036,1267969
14618,2021-07-25 00:35:51+00:00,,16.26,24.78,26.74,18240.0,0.0,989.72,,24.78,96036,1267969
14619,2021-07-25 00:37:51+00:00,,14.96,24.53,25.69,18240.0,0.0,989.75,,24.53,96036,1267969
14620,2021-07-25 00:39:51+00:00,,14.58,22.39,23.33,18240.0,0.0,989.78,,22.39,96036,1267969
14621,2021-07-25 00:41:51+00:00,,15.49,22.96,23.39,18240.0,0.0,989.84,,22.96,96036,1267969
14622,2021-07-25 00:43:51+00:00,,14.15,22.42,23.63,18240.0,0.0,989.9,,22.42,96036,1267969
14623,2021-07-25 00:45:51+00:00,,15.02,23.02,24.09,18240.0,0.0,989.9,,23.02,96036,1267969
14624,2021-07-25 00:47:51+00:00,,14.25,22.36,24.64,18240.0,0.0,989.94,,22.36,96036,1267969
14625,2021-07-25 00:49:51+00:00,,13.73,22.83,23.8,18240.0,0.0,989.94,,22.83,96036,1267969
14626,2021-07-25 00:51:51+00:00,,15.17,24.34,25.56,18240.0,0.0,989.84,,24.34,96036,1267969
14627,2021-07-25 00:53:51+00:00,,14.24,21.86,24.14,18240.0,0.0,989.78,,21.86,96036,1267969
14628,2021-07-25 00:55:51+00:00,,14.63,23.89,25.28,18240.0,0.0,989.77,,23.89,96036,1267969
14629,2021-07-25 00:57:51+00:00,,15.42,23.82,24.46,18240.0,0.0,989.78,,23.82,96036,1267969
14630,2021-07-25 00:59:51+00:00,,14.56,23.35,24.07,18240.0,0.0,989.82,,23.35,96036,1267969
14631,2021-07-25 01:01:51+00:00,,15.45,23.78,24.74,18240.0,0.0,989.81,,23.78,96036,1267969
14632,2021-07-25 01:03:51+00:00,,17.16,26.28,26.88,18240.0,0.0,989.86,,26.21,96036,1267969
