ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV,M_POV,E_UNEMP,M_UNEMP,E_PCI,M_PCI,E_NOHSDP,M_NOHSDP,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_MINRTY,M_MINRTY,E_LIMENG,M_LIMENG,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV,MP_POV,EP_UNEMP,MP_UNEMP,EP_PCI,MP_PCI,EP_NOHSDP,MP_NOHSDP,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_MINRTY,MP_MINRTY,EP_LIMENG,MP_LIMENG,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV,EPL_UNEMP,EPL_PCI,EPL_NOHSDP,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,SPL_THEME2,RPL_THEME2,EPL_MINRTY,EPL_LIMENG,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV,F_UNEMP,F_PCI,F_NOHSDP,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_THEME2,F_MINRTY,F_LIMENG,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_UNINSUR,M_UNINSUR,EP_UNINSUR,MP_UNINSUR,E_DAYPOP
17,ILLINOIS,IL,17001,Adams,17001000100,"Census Tract 1, Adams County, Illinois",4.995072230666,4545,314,2291,89,2133,134,371,198,105,81,34035,6835,217,107,1189,107,995,171,745,196,167,91,474,496,0,44,28,26,143,85,16,28,117,63,24,10,8.2,4.3,4.7,3.6,34035.0,6835.0,6.7,3.2,26.2,2.7,21.9,3.4,16.4,4.3,7.8,4.3,10.4,10.9,0.0,1.0,1.2,1.2,6.2,3.7,0.8,1.3,5.5,2.9,0.5,0.2,0.3616,0.3791,0.36,0.3605,1.4612,0.3469,0.9538,0.434,0.8243,0.4966,2.7087,0.8828,0.2112,0.0,0.2112,0.0896,0.2892,0.869,0.321,0.4316,0.6218,2.5326,0.6452,6.9137,0.4777,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,69,58,1.5,1.3,10081
17,ILLINOIS,IL,17001,Adams,17001000201,"Census Tract 2.01, Adams County, Illinois",1.237975444986,1993,187,989,43,890,65,291,104,35,23,23974,2007,96,36,379,44,392,77,261,61,120,49,248,263,25,50,7,14,120,38,6,14,54,35,25,16,14.6,4.9,3.7,2.5,23974.0,2007.0,7.0,2.7,19.0,2.4,19.7,3.4,13.1,3.0,13.5,5.4,12.4,13.1,1.3,2.7,0.7,1.4,12.1,3.7,0.7,1.7,6.1,3.9,1.3,0.8,0.6159,0.2376,0.7046,0.3795,1.9376,0.4969,0.7445,0.2658,0.659,0.7891,2.4584,0.7553,0.2433,0.4979,0.7412,0.3435,0.2366,0.9277,0.2905,0.4653,0.7172,2.6373,0.6975,7.7745,0.6046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,196,109,9.8,5.4,1686
17,ILLINOIS,IL,17001,Adams,17001000202,"Census Tract 2.02, Adams County, Illinois",0.584927927614,2365,230,1149,50,933,91,383,178,77,64,24216,4424,65,46,258,50,537,96,165,69,106,54,197,322,0,44,23,30,0,11,0,15,48,39,39,26,16.2,6.9,5.3,4.3,24216.0,4424.0,4.3,3.0,10.9,2.4,22.7,3.4,7.0,2.9,11.4,5.8,8.3,13.6,0.0,2.0,2.0,2.6,0.0,2.4,0.0,1.7,5.1,4.0,1.6,1.1,0.6554,0.4533,0.6946,0.2116,2.0149,0.5214,0.2719,0.5024,0.1673,0.7072,1.6488,0.262,0.1762,0.0,0.1762,0.0777,0.3451,0.0,0.0,0.4046,0.7435,1.4932,0.2142,5.3331,0.2274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,92,7.6,3.8,2378
17,ILLINOIS,IL,17001,Adams,17001000400,"Census Tract 4, Adams County, Illinois",1.721245804816,3384,438,1725,92,1273,128,865,326,119,70,18190,2361,359,106,631,76,646,220,515,128,165,80,619,546,8,45,41,35,34,33,23,23,322,98,271,79,27.3,8.0,8.2,4.7,18190.0,2361.0,14.5,4.4,18.6,3.2,19.1,6.0,16.2,4.1,13.0,6.1,18.3,16.0,0.3,1.4,2.4,2.1,2.0,2.0,1.8,1.9,25.3,7.2,8.0,2.1,0.8558,0.7085,0.8603,0.714,3.1386,0.8269,0.7252,0.2327,0.8186,0.7695,2.546,0.8057,0.3432,0.2514,0.5946,0.2742,0.3717,0.771,0.5258,0.8548,0.9454,3.4687,0.947,9.7479,0.8632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,335,174,10.6,5.3,2902
17,ILLINOIS,IL,17001,Adams,17001000500,"Census Tract 5, Adams County, Illinois",0.487459952632,2181,229,976,53,850,75,309,179,47,30,17460,1905,156,67,446,112,502,117,385,133,113,46,410,296,11,47,16,19,6,9,9,9,153,64,291,140,16.5,8.8,5.0,3.1,17460.0,1905.0,11.1,4.2,20.4,4.6,23.0,4.8,20.4,6.3,13.3,5.3,18.8,13.4,0.5,2.3,1.6,2.0,0.6,1.0,1.1,1.1,18.0,7.2,13.3,6.3,0.6667,0.4161,0.8789,0.5978,2.5595,0.6772,0.8122,0.5307,0.9364,0.7814,3.0607,0.9717,0.3531,0.3236,0.6767,0.3104,0.3178,0.6442,0.3974,0.7829,0.9669,3.1092,0.8568,9.4061,0.8217,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,2,143,62,7.6,3.3,4551
17,ILLINOIS,IL,17001,Adams,17001000600,"Census Tract 6, Adams County, Illinois",1.054285874078,3864,274,1838,69,1662,114,465,227,131,66,34801,5081,145,74,638,76,882,171,430,124,82,55,376,370,0,44,57,55,0,11,7,16,60,50,65,41,12.3,5.7,5.6,2.8,34801.0,5081.0,5.5,2.7,16.5,2.0,22.8,4.1,11.3,3.2,4.9,3.3,9.7,9.6,0.0,1.2,3.1,3.0,0.0,1.5,0.4,1.0,3.6,3.0,1.7,1.1,0.5414,0.488,0.3385,0.2848,1.6527,0.406,0.5987,0.5133,0.5202,0.26,1.8922,0.4117,0.2019,0.0,0.2019,0.0851,0.4148,0.0,0.2093,0.2977,0.7525,1.6743,0.2765,5.4211,0.2403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,92,4.3,2.4,5521
17,ILLINOIS,IL,17001,Adams,17001000700,"Census Tract 7, Adams County, Illinois",0.523907981432,1201,116,943,50,771,72,472,113,20,17,17027,2601,219,65,246,54,69,48,444,81,34,28,234,152,0,44,476,72,0,11,7,17,389,80,147,47,45.0,9.8,3.9,3.1,17027.0,2601.0,23.8,6.1,20.5,4.2,5.7,4.0,41.2,7.4,4.4,3.6,19.5,12.6,0.0,3.8,50.5,7.2,0.0,2.9,0.9,2.2,50.5,9.1,12.2,3.7,0.9666,0.2648,0.8924,0.8764,3.0002,0.7947,0.818,0.0157,0.9987,0.2222,2.0546,0.5112,0.3631,0.0,0.3631,0.1618,0.9451,0.0,0.3499,0.9762,0.9637,3.2349,0.8924,8.6528,0.7247,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1,3,5,58,45,5.4,4.0,5640
17,ILLINOIS,IL,17001,Adams,17001000800,"Census Tract 8, Adams County, Illinois",0.914066755146,2714,350,1277,105,1133,133,983,302,114,74,18125,3282,357,129,376,132,701,181,412,146,246,103,662,472,1,42,82,61,0,11,0,15,291,97,158,113,38.4,10.7,8.6,6.0,18125.0,3282.0,19.7,6.9,13.9,4.6,25.8,5.8,16.1,5.6,21.7,8.8,24.4,17.1,0.0,1.6,6.4,4.8,0.0,2.1,0.0,1.4,25.7,8.3,5.8,4.1,0.9409,0.7335,0.8635,0.8183,3.3562,0.8844,0.443,0.7307,0.8134,0.94,2.9271,0.9435,0.4327,0.0,0.4327,0.1961,0.5551,0.0,0.0,0.8577,0.9217,2.3345,0.5652,9.0505,0.7755,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,3,237,118,9.2,4.5,2349
17,ILLINOIS,IL,17001,Adams,17001000900,"Census Tract 9, Adams County, Illinois",0.694183982758,2802,275,1296,75,1109,104,728,226,182,116,21146,2761,141,67,392,53,603,129,376,99,145,73,166,400,0,44,9,17,0,11,47,52,39,34,0,11,26.1,7.2,11.8,6.6,21146.0,2761.0,8.8,4.3,14.0,2.3,21.5,4.1,13.4,3.5,13.1,6.5,5.9,14.3,0.0,1.7,0.7,1.3,0.0,2.1,4.2,4.8,3.5,3.1,0.0,0.4,0.8426,0.835,0.7893,0.4844,2.9513,0.7809,0.4491,0.4016,0.6795,0.7743,2.3045,0.6705,0.1287,0.0,0.1287,0.0597,0.2366,0.0,0.7929,0.289,0.0,1.3185,0.1612,6.703,0.4369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,361,225,12.9,7.8,2306
17,ILLINOIS,IL,17001,Adams,17001001001,"Census Tract 10.01, Adams County, Illinois",0.629208421586,3407,283,1556,59,1529,71,305,210,116,110,26862,2710,106,65,547,102,863,203,448,118,156,73,173,416,0,44,0,15,0,11,0,15,92,66,0,11,9.1,6.1,6.0,5.6,26862.0,2710.0,4.4,2.7,16.1,3.3,25.3,5.6,13.1,3.2,10.2,4.8,5.1,12.2,0.0,1.4,0.0,1.0,0.0,1.7,0.0,1.0,6.0,4.3,0.0,0.3,0.4082,0.5364,0.5986,0.2177,1.7609,0.4411,0.5801,0.6944,0.659,0.6469,2.5804,0.8221,0.112,0.0,0.112,0.053,0.0,0.0,0.0,0.4608,0.0,0.4608,0.026,4.9141,0.1693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167,136,4.9,4.0,1809
